DOCID,LEWISSPLIT,DATE,TOPICS,TITLE,BODY
4001,TRAIN,11-MAR-1987 18:04:17.59,[],inco sees no major impact from dow removal,inco ltd said it did not expect its earlier reported removal from the dow jones industrial index to make a major impact on the companys stock we dont think that individuals or institutions buy our shares because we were one of the dow jones industrials spokesman ken cherney said in reply to a query inco closed 138 lower at 1938 in second most active trading on the toronto stock exchange the wall street journal which selects the index said inco was dropped to make the index more representative of the market inco the noncommunist worlds largest nickel producer was a member of the index since 1928 replacing inco and owensillinois inc will be cocacola co and boeing co effective tomorrow nickel analyst ilmar martens at walwyn stodgell cochran murray ltd said incos removal from the index would likely spark shortterm selling pressure on the stock some investors who have inco may suddenly say well because its not now a dow stock we should eliminate that investment said martens although he added the move was unlikely to have a serious longterm impact on inco stock inco has struggled in recent years against sharply lower nickel prices its net earnings fell to 200000 us dlrs in 1986 from 522 mln dlrs the previous year reuter
4002,TRAIN,11-MAR-1987 18:06:47.22,[],former empire of carolina emp exec sentenced,mason benson former president and chief operating officer of empire of carolina inc a toy maker today was sentenced in manhattan federal court to a year and one day in jail for his involvement in a kickback scheme benson pleaded guilty to charges of conspiracy tax evasion filing false corporate tax returns and defrauding the companys shareholders he was also fined 5000 dlrs benson was charged with demanding kickbacks from sales representatives who were asked to turn over a portion of their commisisons as a condition for doing business with empire reuter
4003,TRAIN,11-MAR-1987 18:09:39.66,[],doctors find link between aids smallpox virus,in a discovery that could complicate the search for an aids vaccine a team of us army doctors said they have uncovered a potentiallyfatal interaction between the aids virus and a virus used to protect against smallpox physicians at the walter reed army institute of research said a 19yearold man who apparently had been exposed to the aids virus developed a poxlike disease and died after receiving the smallpox vaccine the military now tests recruits for aids before vaccinating them the findings reported in the new england journal of medicine are significant because scientists have begun working on an aids vaccine that relies on the smallpox vaccine our case report raises provocative questions concerning the ultimate safety of such vaccines said the group led by dr robert redfield the report also throws into question the belief held by some scientists that the smallpox vaccine which exposes people to a milder protective form of the disease known as cowpox could be further modified to protect people against a host of other diseases reuter
4004,TRAIN,11-MAR-1987 18:13:59.93,[],birth control pills help prevent cancer study,doctors at the centers for disease control in atlanta said they have new evidence that birth control pills can help provide longterm protection from cancer of the ovary even if the pills are only taken for a few months the study reported in the new england journal of medicine also found that all the various types of oral contraceptives on the market were equally effective in lowering the rate of ovarian cancer the researchers estimated that the use of birth control pills in this country probably prevented about 1700 cases of ovarian cancer in 1982 as more and more women who have taken oral contraceptives move into the age groups that are at highest risk for epithelial ovarian cancer we may witness a declining incidence of this serious disease they said specifically the team led by dr howard ory found that oral contraceptive use even for a few months reduces the risk of epithelial ovarian cancer by 40 percent for women 20 to 54 years of age the effect probably takes from five to ten years to become apparent but it persists long after the use of oral contraceptives ends moreover protection exists regardless of the formulation of oral contraceptive used they said reuter
4005,TRAIN,11-MAR-1987 18:14:49.93,"['interest', 'retail', 'ipi']",us economic data key to debt futures outlook,us economic data this week could be the key in determining whether us interest rate futures break out of a 312 month trading range financial analysts said although market expectations are for february us retail sales thursday and industrial production friday to show healthy gains figures within or slightly below expectations would be positive for the market the analysts said you have to be impressed with the resiliency of bonds right now said smith barney harris upham analyst craig sloane treasury bond futures came under pressure today which traders linked to a persistently firm federal funds rate and a rise in oil prices however when sufficient selling interest to break below chart support in the june contract failed to materialize participants who had sold bond futures early quickly covered short positions they said everyone is expecting strong numbers and if they come in as expected it wont be that bad for the market sloane said sloane said the consensus estimate for the nonauto sector of retail sales is for a rise of 06 to 07 pct dean witter analyst karen gibbs said a retail sales figure below market forecasts would give a boost to debt futures and she put the range for the nonauto sector of retail sales at up 08 to 12 pct industrial production and the producer price index friday both are expected to show increases of about 05 pct she added retail sales will tell us whether or not we will be able to fill the gap gibbs said referring to a chart gap in june bonds between 1002632 and 101332 created friday june bonds closed at 100432 today also key to debt futures direction in addition to the federal funds rate is the direction of crude oil prices said carroll mcentee and mcginley futures analyst brian singer a higher fed funds rate and firm oil prices precluded the market from breaking out of the trading range the last time the market approached the top of the range singer said in order for bonds to break above the top of the range which is just below 102 in the june contract the crude oil rally needs to run its course and pull back a little bit singer said fed funds are already easing back down toward the six pct level the recent surge in oil prices has also been a concern to manufacturers hanover futures analyst jim rozich but the rally may be nearing a top around 1850 dlrs per barrel he said rozich said he is looking for the june bond contract to ease to 99632 and find support im not quite ready to jump on the bullish bandwagon yet the jury is still out this week rozich said reuter
4006,TRAIN,11-MAR-1987 18:15:09.97,[],us action program for subsaharan africa,the reagan administration responding to last years united nations special session on africa today outlined a us action program for subsaharan africa focusing heavily on economic reform and selfhelp a white house statement announced establishment of a longterm us goal for all us economic programs and policies in subsaharan africa to end hunger in the region through economic growth policy reform and private sector development the statement said the program of action was recommended by a white house task force set up last september in a series of recommendations the task force called for new efforts to address africas heavy debt burden and said us food aid should stress production incentives to reinforce african nations economic reform and productivity it also said better african access to world markets should be promoted to reward good performance and enable african nations to earn their way toward economic growth the us private sector should be mobilized to provide private voluntary and corporate involvement of a humanitarian it said donor countries should negotiate through the existing international monetary fundworld bank coordination process framework agreements with each subsaharan african country to establish longterm structural adjustment and reform programs the task force called for a separate budget account for us bilateral aid in order to focus better on rewarding economic performance and increasing the flexibility of us assistance programs for incentive economic reforms and private sector development reuter
4007,TRAIN,11-MAR-1987 18:16:09.87,[],unusual texas instruments txn preferred priced,in a novel type of financing texas instruments inc marketed a threepart 225 mln dlr issue of convertible money market preferred stock through shearson lehman brothers inc as sole manager shearson which originated the new convertible concept said each of the three tranches totaled 75 mln dlrs in the first a 285 pct dividend was set on the stock with a strike price of 190 dlrs that represented a 15 pct premium over the common stock price when terms were set also included were 436 pct dividend preferred with a 220 dlr strike price and 33 pct premium and 449 pct dividend preferred with a 235 dlr strike price and 42 pct premium texas instruments common closed at 16725 dlrs up 218 ronald gallatin managing director at shearson said that demand for the offering was unbelievable especially for the first tranche he said that shearson originated the concept of auction money market preferred stock three years ago the conversion feature of this issue is the new wrinkle commenting on the first tranche gallatin noted that the original pricing talk called for a dividend in the four to 420 pct area this was gradually cut to 285 pct because of intense demand saving the issuer money in financing costs the shearson official said that virtually all buyers of the first tranche received less than they wanted he said the latter two tranches were less strongly oversubscribed like nonconvertible money market preferred stock the new version allows investors to redeem their holdings every seven weeks investors then can maintain their holdings sell them or offer to hold on to the securities if the auction dividend is at least at a level they specify in advance gallatin said the securities were sold to a broad range of investors including major insurance companies banks money managers and pension funds reuter
4008,TRAIN,11-MAR-1987 18:21:00.31,[],clark says he expects us action on acid rain,canadian foreign secretary joe clark winding up a twoday visit to washington said he expected the reagan administration to take some action on reducing acid rain my impression is there will be some movement by the united states administration on acid rain but how much movement i cant judge or predict he told reporters the meetings with american officials are part of a routine uscanada consultation but are also expected to lay the groundwork for a summit in ottawa next month between president reagan and prime minister brian mulroney clark today held discussions with treasury secretary james baker and democratic sens patrick moynihan of new york christopher dodd of connecticut lloyd bentsen of texas and george mitchell of maine yesterday he held talks with vice president george bush secretary of state george shultz and commerce secretary malcolm baldrige among its priorities canada is seeking evidence that reagan is prepared to live up to a commitment made last year to implement in the united states a fiveyear 5 billion us dlr program to test cleaner ways of burning coal this issue was discussed at length with baker and several of the senators including mitchell who urged canada to keep the heat on the reagan administration to force action canadian officials said also taken up with most of the senators and baker were trade issues including the need for the united states and canada to establish a better mechanism for settling trade disputes between the two countries who are each others major trading partner canadian officials said reuter
4009,TRAIN,11-MAR-1987 18:22:58.57,[],ford motor f distributes profit sharing,ford motor cor said that profitsharing checks were distributed to employees in its us facilities about 371 mln dlrs was distributed to 160253 emplyees the average payment per employee was more than 2100 dlrs compared with 1200 in 1985 reuter
4010,TRAIN,11-MAR-1987 18:24:57.40,[],jamaica puts cap on borrowing,jamaica has put a cap on its 35 billion dlr foreign debt and will reduce its obligations by 300 mln dlrs this year prime minister edward seaga said today speaking at a news conference seaga said jamaica has reached its maximum stock of debt and will not undertake any more borrowing until it is justified by economic growth this year well be reducing the stock of debt by 300 million dollars he said he told reporters his government aims to reduce jamaicas ratio of debt payments to foreign exchange earnings from the current 50 pct to 25 pct within three years debt payments this year are expected to total 287 mln dollars seaga said yesterday jamaica agreed with creditor banks to reschedule over the next 12 years some 181 miln dlrs due in 198789 the accord includes a grace period on principal payments for eight and a half years and a reduction of interest rates from 25 to 1125 pct above libor last week jamaica obtained a 10year rescheduling of 100 pct of principal and 85 pct of interest on 125 mln dollars of debt to the paris club nations the debt would have fallen due over the next two years reuter
